year,age,0,1,2,3,4,Total
1921,,88,10,2,0,0,100
1922,,88,10,2,0,0,100
1923,,88,10,1,0,0,99
1924,,88,11,2,0,0,101
,,,,,,,
1925,,88,11,2,0,0,101
1926,,87,11,2,0,0,100
1927,,85,13,2,0,0,100
1928,,85,13,2,0,0,100
1929,,84,13,2,0,0,99
,,,,,,,
1930,,84,13,3,0,0,100
1931,,84,13,3,0,0,100
1932,,84,13,3,0,0,100
1933,,84,13,3,0,0,100
1934,,83,13,3,0,0,99
,,,,,,,
1935,,83,13,3,0,0,99
1936,,82,14,3,0,0,99
1937,,82,15,3,0,0,100
1938,,80,15,4,1,0,100
1939,,79,16,4,1,0,100
,,,,,,,
1940,,78,16,4,1,0,99
1941,,77,17,5,1,0,100
1942,,77,17,5,1,0,100
1943,,76,17,6,1,0,100
1944,,75,17,6,1,0,99
,,,,,,,
1945,,74,18,6,1,0,99
1946,,74,18,7,1,0,100
1947,,75,18,6,1,0,100
1948,,74,18,7,1,0,100
1949,,74,18,7,1,0,100
,,,,,,,
1950,,74,18,7,1,0,100
1951,,73,19,7,1,0,100
1952,,73,19,7,1,0,100
1953,,74,18,7,1,0,100
1954,,76,17,7,1,0,101
,,,,,,,
1955,,77,16,6,1,0,100
1956,,78,15,6,1,0,100
1957,,80,14,5,1,0,100
1958,,81,14,5,1,0,101
1959,,82,13,5,1,0,101
,,,,,,,
1960,,82,13,4,1,0,100
1961,,82,13,4,1,0,100
1962,,83,12,4,1,0,100
1963,,84,12,4,1,0,101
1964,,85,11,4,1,0,101
,,,,,,,
1965,,85,11,4,1,0,101
1966,,84,12,4,1,0,101
1967,,84,12,4,1,0,101
1968,,83,13,4,1,0,101
1969,,83,13,4,1,0,101
,,,,,,,
1970,,82,13,4,1,0,100
1971,,83,13,4,1,0,101
1972,,83,13,4,1,0,101
1973,,83,13,4,1,0,101
1974,,83,12,4,1,0,100
,,,,,,,
1975,,84,12,3,1,0,100
1976,,84,12,4,1,0,101
1977,,83,13,3,1,0,100
1978,,83,13,3,1,0,100
1979,,83,13,3,1,0,100
,,,,,,,
1980,,83,13,3,1,0,100
1981,,83,14,3,1,0,101
1982,,83,13,3,1,0,100
1983,,84,12,4,0,0,100
1984,,84,12,3,0,0,99
,,,,,,,
1985,,85,11,3,0,0,99
1986,,84,12,3,0,0,99
1987,,85,11,3,0,0,99
1988,,85,11,3,0,0,99
1989,,85,11,3,0,0,99
,,,,,,,
1990,,85,11,3,0,0,99
1991,,86,10,3,0,0,99
1992,,87,9,3,0,0,99
1993,,88,9,3,0,0,100
1994,,90,7,3,0,0,100
,,,,,,,
1995,,90,7,3,0,0,100
1996,,91,6,2,0,0,99
1997,,91,6,2,0,0,99
1998,,92,6,2,0,0,100
1999,,92,6,2,0,0,100
,,,,,,,
1920,22,83,14,3,0,0,100
1921,,82,15,3,0,0,100
1922,,81,15,3,0,0,99
1923,,81,16,3,0,0,100
1924,,81,16,3,0,0,100
,,,,,,,
1925,,80,17,3,0,0,100
1926,,77,19,4,1,0,101
1927,,76,19,4,1,0,100
1928,,76,19,4,1,0,100
1929,,76,18,5,1,0,100
,,,,,,,
1930,,76,18,5,1,0,100
1931,,76,18,5,1,0,100
1932,,76,18,5,1,0,100
1933,,75,18,5,1,0,99
1934,,75,19,5,1,0,100
,,,,,,,
1935,,74,19,5,1,0,99
1936,,73,20,6,1,0,100
1937,,72,20,6,1,0,99
1938,,71,21,7,1,0,100
1939,,70,21,7,2,0,100
,,,,,,,
1940,,69,21,8,2,0,100
1941,,67,22,9,2,0,100
1942,,67,22,9,2,0,100
1943,,67,21,9,2,0,99
1944,,66,21,10,2,1,100
,,,,,,,
1945,,65,22,10,2,1,100
1946,,65,22,10,2,0,99
1947,,66,21,10,2,0,99
1948,,66,21,10,2,0,99
1949,,66,21,10,2,0,99
,,,,,,,
1950,,66,21,10,2,0,99
1951,,66,21,10,2,0,99
1952,,67,21,10,2,0,100
1953,,68,20,10,2,0,100
1954,,70,19,10,2,0,101
,,,,,,,
1955,,71,18,9,2,0,100
1956,,73,17,8,1,0,99
1957,,74,16,8,1,0,99
1958,,75,16,7,1,0,99
1959,,76,15,7,1,0,99
,,,,,,,
1960,,77,15,7,1,0,100
1961,,77,14,7,1,0,99
1962,,78,14,7,1,0,100
1963,,79,14,6,1,0,100
1964,,80,13,6,1,0,100
,,,,,,,
1965,,80,13,6,1,0,100
1966,,80,13,6,1,0,100
1967,,79,14,6,1,0,100
1968,,78,15,6,1,0,100
1969,,78,15,6,1,0,100
,,,,,,,
1970,,78,15,6,1,0,100
1971,,78,15,5,1,0,99
1972,,79,15,5,1,0,100
1973,,79,14,5,1,0,99
1974,,80,14,5,1,0,100
,,,,,,,
1975,,80,14,5,1,0,100
1976,,80,14,5,1,0,100
1977,,79,14,5,1,0,99
1978,,79,14,5,1,0,99
1979,,79,15,5,1,0,100
,,,,,,,
1980,,79,15,5,1,0,100
1981,,79,15,5,1,0,100
1982,,79,14,5,1,0,99
1983,,80,14,5,1,0,100
1984,,80,13,5,1,0,99
,,,,,,,
1985,,81,13,5,1,0,100
1986,,80,13,5,1,0,99
1987,,80,13,5,1,0,99
1988,,81,13,5,1,0,100
1989,,81,13,5,1,0,100
,,,,,,,
1990,,82,13,5,1,0,101
1991,,83,11,5,1,0,100
1992,,84,10,4,1,0,99
1993,,86,10,4,1,0,101
1994,,87,9,4,1,0,101
,,,,,,,
1995,,87,8,4,1,0,100
1996,,88,8,3,1,0,100
1997,,89,8,3,0,0,100
1998,,89,8,3,0,0,100
,,,,,,,
1920,23,75,19,5,1,0,100
1921,,74,20,5,1,0,100
1922,,73,20,5,1,0,99
1923,,73,21,5,1,0,100
1924,,72,22,5,1,0,100
,,,,,,,
1925,,69,24,6,1,0,100
1926,,68,25,6,1,0,100
1927,,67,24,7,1,0,99
1928,,67,24,7,1,0,99
1929,,68,23,7,2,0,100
,,,,,,,
1930,,67,23,7,2,0,99
1931,,67,23,7,2,0,99
1932,,67,23,8,2,0,100
1933,,66,24,8,2,0,100
1934,,65,24,8,2,0,99
,,,,,,,
1935,,64,25,9,2,1,101
1936,,63,25,9,2,1,100
1937,,62,25,10,2,1,100
1938,,61,25,11,3,1,101
1939,,60,25,11,3,1,100
,,,,,,,
1940,,58,26,12,3,1,100
1941,,57,26,13,4,1,101
1942,,57,25,13,4,1,100
1943,,57,25,13,4,1,100
1944,,57,25,14,4,1,101
,,,,,,,
1945,,56,25,14,4,1,100
1946,,56,25,14,4,1,100
1947,,58,24,14,3,1,100
1948,,58,24,14,4,1,101
1949,,59,23,14,3,1,100
,,,,,,,
1950,,59,23,14,3,1,100
1951,,60,22,14,3,1,100
1952,,61,22,14,3,1,101
1953,,62,21,13,3,1,100
1954,,65,20,13,3,0,101
,,,,,,,
1955,,66,19,12,2,0,99
1956,,68,18,11,2,0,99
1957,,68,18,11,2,0,99
1958,,69,18,10,2,0,99
1959,,71,17,10,2,0,100
,,,,,,,
1960,,71,16,10,2,0,99
1961,,72,16,9,2,0,99
1962,,73,15,9,2,0,99
1963,,74,15,8,2,0,99
1964,,75,15,8,2,0,100
,,,,,,,
1965,,75,15,8,2,0,100
1966,,75,15,8,2,0,100
1967,,74,16,8,2,0,100
1968,,73,16,8,2,0,99
1969,,73,16,8,2,0,99
,,,,,,,
1970,,74,17,8,2,0,101
1971,,74,16,7,2,0,99
1972,,75,16,7,2,0,100
1973,,76,15,7,2,0,100
1974,,76,15,7,2,0,100
,,,,,,,
1975,,76,15,7,2,0,100
1976,,76,15,7,2,0,100
1977,,75,16,7,1,0,99
1978,,76,15,7,1,0,99
1979,,75,16,7,1,0,99
,,,,,,,
1980,,75,16,7,1,0,99
1981,,75,16,7,2,0,100
1982,,76,16,7,1,0,100
1983,,76,15,7,1,0,99
1984,,76,15,7,1,0,99
,,,,,,,
1985,,77,14,7,1,0,99
1986,,76,15,7,1,0,99
1987,,76,15,7,1,0,99
1988,,77,14,7,1,0,99
1989,,77,14,7,1,0,99
,,,,,,,
1990,,78,13,7,1,0,99
1991,,80,12,6,1,0,99
1992,,81,11,6,1,0,99
1993,,83,11,5,1,0,100
1994,,84,10,5,1,0,100
,,,,,,,
1995,,84,9,5,1,0,99
1996,,85,9,5,1,0,100
1997,,86,9,4,1,0,100
,,,,,,,
1920,24,68,24,7,2,0,101
1921,,66,25,8,2,0,101
1922,,66,24,8,2,0,100
1923,,64,26,8,2,0,100
1924,,60,29,9,2,0,100
,,,,,,,
1925,,60,29,9,2,0,100
1926,,59,28,10,2,0,99
1927,,59,28,10,2,1,100
1928,,59,27,10,3,1,100
1929,,60,27,10,3,1,101
,,,,,,,
1930,,59,27,11,3,1,101
1931,,59,27,11,3,1,101
1932,,59,27,11,3,1,101
1933,,57,27,11,3,1,99
1934,,55,29,12,3,1,100
,,,,,,,
1935,,55,28,13,3,1,100
1936,,54,28,13,4,1,100
1937,,53,28,14,4,1,100
1938,,52,28,15,4,1,100
1939,,50,28,16,5,2,101
,,,,,,,
1940,,49,28,16,5,2,100
1941,,48,28,17,5,2,100
1942,,48,27,17,6,2,100
1943,,48,26,18,6,2,100
1944,,48,26,18,6,2,100
,,,,,,,
1945,,48,27,19,5,2,101
1946,,48,26,19,5,2,100
1947,,51,25,18,5,2,101
1948,,50,25,18,5,2,100
1949,,52,24,18,5,1,100
,,,,,,,
1950,,53,24,18,5,1,101
1951,,54,23,17,4,1,99
1952,,55,23,17,4,1,100
1953,,57,22,17,4,1,101
1954,,59,20,16,4,1,100
,,,,,,,
1955,,60,20,15,3,1,99
1956,,61,20,14,4,1,100
1957,,62,20,14,3,1,100
1958,,64,19,13,3,1,100
1959,,65,18,13,3,1,100
,,,,,,,
1960,,66,17,13,3,1,100
1961,,67,17,12,3,1,100
1962,,68,17,12,3,1,101
1963,,69,16,11,3,1,100
1964,,70,16,10,3,1,100
,,,,,,,
1965,,70,16,10,3,1,100
1966,,70,16,10,3,1,100
1967,,69,17,10,3,1,100
1968,,69,17,10,3,1,100
1969,,69,17,10,3,1,100
,,,,,,,
1970,,69,17,10,3,1,100
1971,,70,17,9,3,1,100
1972,,71,17,9,3,1,101
1973,,72,16,9,2,1,100
1974,,72,16,9,2,1,100
,,,,,,,
1975,,72,16,9,2,1,100
1976,,72,16,9,2,1,100
1977,,72,16,9,2,1,100
1978,,72,16,9,2,1,100
1979,,72,17,9,2,0,100
,,,,,,,
1980,,72,16,9,2,0,99
1981,,72,17,9,2,0,100
1982,,72,16,9,2,0,99
1983,,72,16,9,2,0,99
1984,,73,15,9,2,0,99
,,,,,,,
1985,,73,15,9,2,0,99
1986,,73,15,9,2,0,99
1987,,72,15,10,2,0,99
1988,,73,15,9,2,0,99
1989,,73,15,9,2,0,99
,,,,,,,
1990,,75,14,9,2,0,100
1991,,77,13,8,2,0,100
1992,,78,12,8,2,0,100
1993,,79,11,7,2,0,99
1994,,81,11,7,2,0,101
,,,,,,,
1995,,81,10,7,1,0,99
1996,,82,10,6,1,0,99
,,,,,,,
1920,25,60,27,10,3,1,101
1921,,59,28,10,2,1,100
1922,,57,29,11,3,1,101
1923,,53,31,12,3,1,100
1924,,52,32,13,3,1,101
,,,,,,,
1925,,52,31,13,3,1,100
1926,,52,30,14,4,1,101
1927,,52,30,13,4,1,100
1928,,52,30,13,4,1,100
1929,,52,29,14,4,1,100
,,,,,,,
1930,,51,29,14,4,1,99
1931,,51,29,14,4,2,100
1932,,50,29,15,4,2,100
1933,,49,30,15,5,2,101
1934,,47,30,16,5,2,100
,,,,,,,
1935,,46,30,17,5,2,100
1936,,46,29,17,6,2,100
1937,,45,29,18,6,2,100
1938,,43,29,19,6,3,100
1939,,42,29,20,7,3,101
,,,,,,,
1940,,41,28,21,7,3,100
1941,,40,28,22,8,3,101
1942,,40,27,22,8,3,100
1943,,41,27,22,7,3,100
1944,,41,27,22,7,3,100
,,,,,,,
1945,,40,27,23,7,3,100
1946,,41,26,23,7,3,100
1947,,44,26,22,7,2,101
1948,,44,25,22,7,2,100
1949,,45,25,22,6,2,100
,,,,,,,
1950,,47,24,21,6,2,100
1951,,48,24,21,6,2,101
1952,,50,23,20,5,1,99
1953,,52,22,20,5,1,100
1954,,54,21,19,5,1,100
,,,,,,,
1955,,54,22,18,5,1,100
1956,,55,21,18,5,1,100
1957,,56,20,17,5,1,99
1958,,58,20,16,4,1,99
1959,,60,19,16,4,1,100
,,,,,,,
1960,,61,18,16,4,1,100
1961,,62,18,15,4,1,100
1962,,63,18,14,4,1,100
1963,,64,18,13,4,1,100
1964,,65,17,13,4,1,100
,,,,,,,
1965,,65,17,13,4,1,100
1966,,65,17,13,4,1,100
1967,,65,18,13,4,1,101
1968,,64,18,13,4,1,100
1969,,65,18,12,4,1,100
,,,,,,,
1970,,65,18,12,4,1,100
1971,,66,18,11,4,1,100
1972,,67,17,11,3,1,99
1973,,68,17,11,3,1,100
1974,,68,17,11,3,1,100
,,,,,,,
1975,,69,16,11,3,1,100
1976,,68,17,11,3,1,100
1977,,68,17,11,3,1,100
1978,,69,17,11,3,1,101
1979,,68,18,11,3,1,101
,,,,,,,
1980,,68,18,11,3,1,101
1981,,68,18,10,3,1,100
1982,,68,18,11,3,1,101
1983,,68,17,11,3,1,100
1984,,69,17,11,3,1,101
,,,,,,,
1985,,69,17,11,3,1,101
1986,,68,17,11,3,1,100
1987,,68,17,11,3,1,100
1988,,69,16,11,3,1,100
1989,,70,15,11,3,1,100
,,,,,,,
1990,,71,15,10,3,1,100
1991,,74,13,10,3,1,101
1992,,75,13,9,3,1,101
1993,,76,12,9,2,1,100
1994,,77,12,8,2,1,100
,,,,,,,
1995,,78,12,8,2,0,100
,,,,,,,
1920,26,55,28,12,4,1,100
1921,,51,31,14,4,1,101
1922,,48,32,15,4,1,100
1923,,46,33,16,4,1,100
1924,,45,33,16,4,1,99
,,,,,,,
1925,,46,32,16,5,2,101
1926,,46,31,17,5,2,101
1927,,46,31,16,5,2,100
1928,,45,31,16,5,2,99
1929,,45,30,17,5,2,99
,,,,,,,
1930,,44,30,17,6,2,99
1931,,44,30,18,6,2,100
1932,,43,30,18,6,3,100
1933,,41,30,19,6,3,99
1934,,39,31,20,7,3,100
,,,,,,,
1935,,39,30,21,7,3,100
1936,,38,29,21,8,3,99
1937,,38,29,22,8,4,101
1938,,36,28,23,8,4,99
1939,,35,28,24,9,4,100
,,,,,,,
1940,,34,27,25,9,5,100
1941,,33,27,26,10,5,101
1942,,34,26,26,10,4,100
1943,,34,26,26,9,4,99
1944,,34,26,26,9,4,99
,,,,,,,
1945,,34,26,27,9,4,100
1946,,34,26,27,9,3,99
1947,,37,26,26,8,3,100
1948,,38,25,26,8,3,100
1949,,39,25,25,8,3,100
,,,,,,,
1950,,41,24,25,7,2,99
1951,,43,24,24,7,2,100
1952,,44,23,24,7,2,100
1953,,46,23,23,6,2,100
1954,,48,22,22,6,2,100
,,,,,,,
1955,,48,22,22,6,2,100
1956,,50,21,21,6,2,100
1957,,51,21,21,6,2,101
1958,,53,20,19,6,2,100
1959,,54,19,19,6,2,100
,,,,,,,
1960,,55,19,18,6,2,100
1961,,57,18,18,5,2,100
1962,,58,18,17,5,2,100
1963,,58,19,16,5,2,100
1964,,59,18,15,5,2,99
,,,,,,,
1965,,60,18,15,5,2,100
1966,,60,18,15,5,2,100
1967,,60,19,15,5,2,101
1968,,60,19,15,5,2,101
1969,,60,19,14,5,2,100
,,,,,,,
1970,,61,19,14,5,2,101
1971,,62,19,13,5,1,100
1972,,63,18,13,4,1,99
1973,,64,18,13,4,1,100
1974,,64,17,13,4,2,100
,,,,,,,
1975,,65,17,13,4,2,101
1976,,65,17,13,4,1,100
1977,,65,18,13,3,1,100
1978,,65,18,12,4,1,100
1979,,64,18,13,4,1,100
,,,,,,,
1980,,64,18,12,4,1,99
1981,,64,19,12,4,1,100
1982,,64,19,13,4,1,101
1983,,64,18,13,4,1,100
1984,,65,18,13,4,1,101
,,,,,,,
1985,,65,18,13,4,1,101
1986,,64,18,13,4,1,100
1987,,64,17,14,4,1,100
1988,,65,16,13,4,1,99
1989,,66,16,13,4,1,100
,,,,,,,
1990,,68,15,12,4,1,100
1991,,70,14,11,4,1,100
1992,,71,14,11,3,1,100
1993,,72,13,10,3,1,99
1994,,74,13,10,3,1,101
,,,,,,,
1920,27,47,30,16,5,2,100
1921,,42,33,18,5,2,100
1922,,42,33,18,6,2,101
1923,,40,33,19,6,2,100
1924,,40,33,19,6,2,100
,,,,,,,
1925,,40,32,19,6,2,99
1926,,40,31,19,7,3,100
1927,,40,31,19,7,3,100
1928,,39,31,19,7,3,99
1929,,39,30,20,7,3,99
,,,,,,,
1930,,38,30,21,7,4,100
1931,,38,30,21,8,4,101
1932,,37,30,22,8,4,101
1933,,35,30,23,8,4,100
1934,,33,30,24,9,4,100
,,,,,,,
1935,,33,29,25,9,5,101
1936,,32,28,25,10,5,100
1937,,31,27,26,10,5,99
1938,,30,27,27,11,6,101
1939,,29,26,27,11,6,99
,,,,,,,
1940,,28,26,28,12,6,100
1941,,27,25,29,12,6,99
1942,,28,25,29,12,6,100
1943,,29,24,30,11,5,99
1944,,29,25,30,11,5,100
,,,,,,,
1945,,28,25,31,11,5,100
1946,,29,25,31,11,4,100
1947,,32,25,29,10,4,100
1948,,32,25,30,9,3,99
1949,,34,24,29,9,3,99
,,,,,,,
1950,,36,24,29,8,3,100
1951,,38,24,28,8,3,101
1952,,39,23,27,8,2,99
1953,,40,23,27,8,2,100
1954,,42,22,26,8,2,100
,,,,,,,
1955,,43,22,25,8,2,100
1956,,44,21,24,8,2,99
1957,,46,21,24,7,3,101
1958,,47,21,22,7,3,100
1959,,49,20,22,7,3,101
,,,,,,,
1960,,50,19,21,7,3,100
1961,,51,19,21,7,2,100
1962,,52,19,19,7,2,99
1963,,53,19,19,7,2,100
1964,,54,19,18,6,2,99
,,,,,,,
1965,,55,18,18,6,2,99
1966,,55,19,17,6,2,99
1967,,55,19,17,6,2,99
1968,,55,20,17,6,2,100
1969,,56,20,16,6,2,100
,,,,,,,
1970,,56,20,16,6,2,100
1971,,57,20,15,6,2,100
1972,,59,19,15,5,2,100
1973,,60,19,15,5,2,101
1974,,60,19,14,5,2,100
,,,,,,,
1975,,61,18,14,5,2,100
1976,,61,18,14,4,2,99
1977,,61,19,14,4,2,100
1978,,61,19,14,5,2,101
1979,,60,19,14,5,1,99
,,,,,,,
1980,,60,20,14,5,1,100
1981,,60,20,14,5,1,100
1982,,59,20,14,5,1,99
1983,,60,19,15,5,1,100
1984,,60,19,15,5,1,100
,,,,,,,
1985,,60,19,15,5,1,100
1986,,60,18,15,5,1,99
1987,,60,18,15,5,2,100
1988,,61,17,15,5,2,100
1989,,63,16,15,5,2,101
,,,,,,,
1990,,64,16,14,5,2,101
1991,,66,15,13,4,1,99
1992,,67,15,12,4,1,99
1993,,68,15,12,4,1,100
,,,,,,,
1920,28,40,31,19,6,3,99
1921,,37,33,21,7,3,101
1922,,37,32,21,7,3,100
1923,,36,32,22,7,3,100
1924,,35,32,22,7,3,99
,,,,,,,
1925,,36,31,22,8,3,100
1926,,35,31,22,8,4,100
1927,,35,31,22,8,4,100
1928,,35,31,22,8,4,100
1929,,35,30,23,8,4,100
,,,,,,,
1930,,33,30,24,9,5,101
1931,,32,29,24,9,5,99
1932,,32,29,25,9,5,100
1933,,30,28,26,10,5,99
1934,,28,28,27,11,6,100
,,,,,,,
1935,,28,27,28,11,6,100
1936,,27,27,28,12,7,101
1937,,27,25,29,12,7,100
1938,,25,25,29,13,7,99
1939,,25,24,30,13,7,99
,,,,,,,
1940,,24,23,31,14,8,100
1941,,23,23,32,14,7,99
1942,,24,23,32,14,7,100
1943,,25,22,33,13,7,100
1944,,24,23,33,13,6,99
,,,,,,,
1945,,24,23,34,13,6,100
1946,,24,24,34,12,5,99
1947,,28,24,33,11,4,100
1948,,28,24,34,11,4,101
1949,,30,24,33,10,4,101
,,,,,,,
1950,,32,23,32,10,3,100
1951,,33,23,31,9,3,99
1952,,34,23,31,9,3,100
1953,,35,22,30,9,3,99
1954,,37,22,29,9,3,100
,,,,,,,
1955,,38,22,28,9,3,100
1956,,40,21,27,9,3,100
1957,,41,20,27,9,3,100
1958,,43,20,25,8,3,99
1959,,44,19,25,8,3,99
,,,,,,,
1960,,45,19,24,8,3,99
1961,,46,19,23,8,3,99
1962,,48,19,22,8,3,100
1963,,48,19,22,8,3,100
1964,,50,19,21,8,3,101
,,,,,,,
1965,,50,19,20,8,3,100
1966,,50,20,20,8,3,101
1967,,50,20,20,7,3,100
1968,,50,20,19,7,3,99
1969,,51,20,18,7,3,99
,,,,,,,
1970,,52,21,18,7,3,101
1971,,53,20,17,7,2,99
1972,,54,20,17,6,2,99
1973,,55,20,16,6,2,99
1974,,56,19,16,6,2,99
,,,,,,,
1975,,57,19,16,6,2,100
1976,,57,19,16,6,2,100
1977,,56,20,16,6,2,100
1978,,57,20,15,6,2,100
1979,,56,21,16,6,2,101
,,,,,,,
1980,,56,21,16,6,2,101
1981,,55,21,15,6,2,99
1982,,55,21,16,6,2,100
1983,,55,20,16,6,2,99
1984,,55,20,16,6,2,99
,,,,,,,
1985,,56,19,17,6,2,100
1986,,56,19,17,6,2,100
1987,,56,18,17,6,2,99
1988,,57,17,17,6,2,99
1989,,58,17,17,6,2,100
,,,,,,,
1990,,59,17,16,6,2,100
1991,,62,16,15,5,2,100
1992,,63,16,14,5,2,100
,,,,,,,
1920,29,36,31,22,8,4,101
1921,,33,32,23,8,4,100
1922,,33,31,24,8,4,100
1923,,32,31,24,9,4,100
1924,,32,31,24,9,4,100
,,,,,,,
1925,,32,31,24,9,5,101
1926,,32,30,24,9,5,100
1927,,31,30,24,9,5,99
1928,,31,30,24,10,5,100
1929,,30,29,25,10,6,100
,,,,,,,
1930,,29,29,26,10,6,100
1931,,28,28,27,11,6,100
1932,,28,27,27,11,6,99
1933,,26,27,29,12,7,101
1934,,24,26,29,13,8,100
,,,,,,,
1935,,24,25,30,13,8,100
1936,,23,24,30,14,9,100
1937,,23,23,31,14,9,100
1938,,22,23,31,15,9,100
1939,,21,22,32,15,9,99
,,,,,,,
1940,,21,21,33,16,9,100
1941,,20,21,34,16,9,100
1942,,21,21,34,16,8,100
1943,,22,20,35,15,8,100
1944,,21,21,36,15,7,100
,,,,,,,
1945,,21,22,37,14,7,101
1946,,21,22,37,14,6,100
1947,,24,22,36,12,5,99
1948,,24,22,37,12,5,100
1949,,26,22,36,11,4,99
,,,,,,,
1950,,28,22,35,11,4,100
1951,,29,22,34,11,4,100
1952,,30,22,34,11,4,101
1953,,31,21,33,11,4,100
1954,,33,21,32,11,4,101
,,,,,,,
1955,,34,21,31,10,4,100
1956,,36,20,30,10,4,100
1957,,37,20,29,10,4,100
1958,,38,20,28,10,4,100
1959,,40,19,27,10,4,100
,,,,,,,
1960,,41,19,27,10,4,101
1961,,42,19,26,9,4,100
1962,,43,19,25,9,4,100
1963,,44,19,24,9,4,100
1964,,45,19,24,9,3,100
,,,,,,,
1965,,46,19,23,9,4,101
1966,,46,20,22,9,4,101
1967,,46,20,22,9,3,100
1968,,46,21,21,8,3,99
1969,,47,21,21,8,3,100
,,,,,,,
1970,,47,21,20,8,3,99
1971,,49,21,20,8,3,101
1972,,50,21,19,7,3,100
1973,,51,21,18,7,3,100
1974,,52,21,18,7,3,101
,,,,,,,
1975,,53,20,18,6,3,100
1976,,52,21,18,7,3,101
1977,,52,21,17,7,3,100
1978,,52,21,17,7,3,100
1979,,51,22,18,7,2,100
,,,,,,,
1980,,51,22,17,7,2,99
1981,,50,23,17,7,2,99
1982,,50,22,18,7,2,99
1983,,50,22,18,7,2,99
1984,,51,21,18,7,2,99
,,,,,,,
1985,,52,20,19,7,3,101
1986,,52,19,19,7,3,100
1987,,52,18,20,7,3,100
1988,,53,18,19,7,3,100
1989,,54,18,19,7,3,101
,,,,,,,
1990,,55,18,18,7,3,101
1991,,57,17,17,6,2,99
,,,,,,,
1920,30,33,29,24,9,5,100
1921,,30,30,25,10,5,100
1922,,30,30,25,10,5,100
1923,,29,30,26,10,5,100
1924,,28,30,26,10,6,100
,,,,,,,
1925,,29,30,26,10,6,101
1926,,28,29,26,11,6,100
1927,,28,29,26,11,6,100
1928,,27,29,26,11,7,100
1929,,27,28,27,11,7,100
,,,,,,,
1930,,25,27,28,12,8,100
1931,,25,26,29,12,8,100
1932,,25,26,29,13,8,101
1933,,23,25,30,14,9,101
1934,,21,24,31,14,10,100
,,,,,,,
1935,,20,23,31,15,10,99
1936,,20,22,31,16,10,99
1937,,20,21,32,16,11,100
1938,,19,21,33,17,11,101
1939,,19,20,34,17,11,101
,,,,,,,
1940,,18,19,35,17,11,100
1941,,18,19,35,18,10,100
1942,,18,19,36,17,10,100
1943,,19,18,37,17,9,100
1944,,18,20,38,16,8,100
,,,,,,,
